"tick","run","random_seed","Human Count","Zombie Count"
0.0,1,195305890,6,6
1.0,1,195305890,6,6
2.0,1,195305890,6,6
3.0,1,195305890,6,6
4.0,1,195305890,6,6
5.0,1,195305890,6,6
6.0,1,195305890,6,6
7.0,1,195305890,6,6
8.0,1,195305890,6,6
9.0,1,195305890,6,6
10.0,1,195305890,6,6
11.0,1,195305890,6,6
12.0,1,195305890,6,6
13.0,1,195305890,6,6
14.0,1,195305890,6,6
15.0,1,195305890,6,6
16.0,1,195305890,6,6
17.0,1,195305890,6,6
18.0,1,195305890,6,6
19.0,1,195305890,6,6
20.0,1,195305890,6,6
21.0,1,195305890,6,6
22.0,1,195305890,6,6
23.0,1,195305890,6,6
24.0,1,195305890,6,6
25.0,1,195305890,6,6
26.0,1,195305890,6,6
27.0,1,195305890,6,6
28.0,1,195305890,6,6
29.0,1,195305890,6,6
30.0,1,195305890,6,6
31.0,1,195305890,6,6
32.0,1,195305890,6,6
33.0,1,195305890,6,6
34.0,1,195305890,6,6
35.0,1,195305890,6,6
36.0,1,195305890,6,6
37.0,1,195305890,6,6
38.0,1,195305890,6,6
39.0,1,195305890,6,6
40.0,1,195305890,6,6
41.0,1,195305890,6,6
42.0,1,195305890,6,6
43.0,1,195305890,6,6
44.0,1,195305890,6,6
45.0,1,195305890,6,6
46.0,1,195305890,6,6
47.0,1,195305890,6,6
48.0,1,195305890,6,6
49.0,1,195305890,6,6
50.0,1,195305890,6,6
51.0,1,195305890,6,6
52.0,1,195305890,6,6
53.0,1,195305890,6,6
54.0,1,195305890,6,6
55.0,1,195305890,6,6
56.0,1,195305890,6,6
57.0,1,195305890,6,6
58.0,1,195305890,6,6
59.0,1,195305890,6,6
60.0,1,195305890,6,6
61.0,1,195305890,6,6
62.0,1,195305890,6,6
63.0,1,195305890,6,6
64.0,1,195305890,6,6
65.0,1,195305890,6,6
66.0,1,195305890,6,6
67.0,1,195305890,6,6
68.0,1,195305890,6,6
69.0,1,195305890,6,6
70.0,1,195305890,6,6
71.0,1,195305890,5,7
72.0,1,195305890,5,7
73.0,1,195305890,5,7
74.0,1,195305890,5,7
75.0,1,195305890,5,7
76.0,1,195305890,5,7
77.0,1,195305890,5,7
78.0,1,195305890,5,7
79.0,1,195305890,5,7
80.0,1,195305890,5,7
