"tick","run","random_seed","Human Count","Zombie Count"
0.0,1,1196279558,200,5
1.0,1,1196279558,199,6
2.0,1,1196279558,198,7
3.0,1,1196279558,198,7
4.0,1,1196279558,197,8
5.0,1,1196279558,197,8
6.0,1,1196279558,197,8
7.0,1,1196279558,197,8
8.0,1,1196279558,196,9
9.0,1,1196279558,195,10
10.0,1,1196279558,194,11
11.0,1,1196279558,192,13
12.0,1,1196279558,191,14
13.0,1,1196279558,191,14
14.0,1,1196279558,191,14
15.0,1,1196279558,191,14
16.0,1,1196279558,191,14
17.0,1,1196279558,190,15
18.0,1,1196279558,188,17
19.0,1,1196279558,187,18
20.0,1,1196279558,186,19
21.0,1,1196279558,186,19
22.0,1,1196279558,185,20
23.0,1,1196279558,185,20
24.0,1,1196279558,184,21
25.0,1,1196279558,183,22
26.0,1,1196279558,183,22
27.0,1,1196279558,181,24
28.0,1,1196279558,180,25
29.0,1,1196279558,179,26
30.0,1,1196279558,179,26
31.0,1,1196279558,178,27
32.0,1,1196279558,178,27
33.0,1,1196279558,176,29
34.0,1,1196279558,174,31
35.0,1,1196279558,173,32
36.0,1,1196279558,171,34
37.0,1,1196279558,170,35
38.0,1,1196279558,168,37
39.0,1,1196279558,167,38
40.0,1,1196279558,167,38
41.0,1,1196279558,166,39
42.0,1,1196279558,165,40
43.0,1,1196279558,163,42
44.0,1,1196279558,161,44
45.0,1,1196279558,160,45
46.0,1,1196279558,159,46
47.0,1,1196279558,157,48
48.0,1,1196279558,156,49
49.0,1,1196279558,156,49
50.0,1,1196279558,155,50
51.0,1,1196279558,153,52
52.0,1,1196279558,151,54
53.0,1,1196279558,151,54
54.0,1,1196279558,149,56
55.0,1,1196279558,148,57
56.0,1,1196279558,144,61
57.0,1,1196279558,142,63
58.0,1,1196279558,140,65
59.0,1,1196279558,138,67
60.0,1,1196279558,136,69
61.0,1,1196279558,135,70
62.0,1,1196279558,134,71
63.0,1,1196279558,128,77
64.0,1,1196279558,124,81
65.0,1,1196279558,124,81
66.0,1,1196279558,123,82
67.0,1,1196279558,123,82
68.0,1,1196279558,120,85
69.0,1,1196279558,120,85
70.0,1,1196279558,119,86
71.0,1,1196279558,117,88
72.0,1,1196279558,117,88
73.0,1,1196279558,115,90
74.0,1,1196279558,112,93
75.0,1,1196279558,108,97
76.0,1,1196279558,103,102
77.0,1,1196279558,100,105
78.0,1,1196279558,100,105
79.0,1,1196279558,98,107
80.0,1,1196279558,94,111
81.0,1,1196279558,94,111
82.0,1,1196279558,92,113
83.0,1,1196279558,90,115
84.0,1,1196279558,88,117
85.0,1,1196279558,86,119
86.0,1,1196279558,84,121
87.0,1,1196279558,80,125
88.0,1,1196279558,78,127
89.0,1,1196279558,75,130
90.0,1,1196279558,70,135
91.0,1,1196279558,68,137
92.0,1,1196279558,67,138
93.0,1,1196279558,63,142
94.0,1,1196279558,58,147
95.0,1,1196279558,54,151
96.0,1,1196279558,50,155
97.0,1,1196279558,48,157
98.0,1,1196279558,47,158
99.0,1,1196279558,45,160
100.0,1,1196279558,45,160
101.0,1,1196279558,42,163
102.0,1,1196279558,39,166
103.0,1,1196279558,38,167
104.0,1,1196279558,36,169
105.0,1,1196279558,34,171
106.0,1,1196279558,32,173
107.0,1,1196279558,30,175
108.0,1,1196279558,28,177
109.0,1,1196279558,28,177
110.0,1,1196279558,28,177
111.0,1,1196279558,26,179
112.0,1,1196279558,25,180
113.0,1,1196279558,24,181
114.0,1,1196279558,23,182
115.0,1,1196279558,21,184
116.0,1,1196279558,21,184
117.0,1,1196279558,20,185
118.0,1,1196279558,20,185
119.0,1,1196279558,20,185
120.0,1,1196279558,19,186
121.0,1,1196279558,19,186
122.0,1,1196279558,18,187
123.0,1,1196279558,17,188
124.0,1,1196279558,15,190
125.0,1,1196279558,13,192
126.0,1,1196279558,13,192
127.0,1,1196279558,13,192
128.0,1,1196279558,11,194
129.0,1,1196279558,11,194
130.0,1,1196279558,9,196
131.0,1,1196279558,9,196
132.0,1,1196279558,8,197
