"tick","run","random_seed","Human Count","Zombie Count"
0.0,1,195369746,6,6
1.0,1,195369746,6,6
2.0,1,195369746,6,6
3.0,1,195369746,6,6
4.0,1,195369746,6,6
5.0,1,195369746,6,6
6.0,1,195369746,6,6
7.0,1,195369746,6,6
8.0,1,195369746,6,6
9.0,1,195369746,6,6
10.0,1,195369746,6,6
11.0,1,195369746,6,6
12.0,1,195369746,6,6
13.0,1,195369746,6,6
14.0,1,195369746,6,6
15.0,1,195369746,6,6
16.0,1,195369746,6,6
17.0,1,195369746,5,7
18.0,1,195369746,5,7
19.0,1,195369746,5,7
20.0,1,195369746,5,7
21.0,1,195369746,5,7
22.0,1,195369746,5,7
23.0,1,195369746,5,7
24.0,1,195369746,5,7
25.0,1,195369746,5,7
26.0,1,195369746,5,7
27.0,1,195369746,5,7
28.0,1,195369746,5,7
29.0,1,195369746,4,8
30.0,1,195369746,4,8
31.0,1,195369746,4,8
32.0,1,195369746,4,8
33.0,1,195369746,4,8
34.0,1,195369746,4,8
35.0,1,195369746,4,8
36.0,1,195369746,4,8
37.0,1,195369746,4,8
38.0,1,195369746,4,8
39.0,1,195369746,4,8
40.0,1,195369746,4,8
41.0,1,195369746,4,8
42.0,1,195369746,4,8
43.0,1,195369746,4,8
44.0,1,195369746,4,8
45.0,1,195369746,4,8
46.0,1,195369746,4,8
47.0,1,195369746,4,8
48.0,1,195369746,4,8
49.0,1,195369746,4,8
50.0,1,195369746,4,8
51.0,1,195369746,4,8
52.0,1,195369746,4,8
53.0,1,195369746,4,8
54.0,1,195369746,4,8
55.0,1,195369746,4,8
56.0,1,195369746,3,9
57.0,1,195369746,3,9
58.0,1,195369746,3,9
59.0,1,195369746,3,9
60.0,1,195369746,3,9
61.0,1,195369746,3,9
62.0,1,195369746,3,9
63.0,1,195369746,2,10
64.0,1,195369746,2,10
65.0,1,195369746,2,10
66.0,1,195369746,2,10
67.0,1,195369746,2,10
68.0,1,195369746,2,10
69.0,1,195369746,2,10
70.0,1,195369746,2,10
71.0,1,195369746,2,10
72.0,1,195369746,2,10
73.0,1,195369746,2,10
74.0,1,195369746,2,10
75.0,1,195369746,2,10
76.0,1,195369746,2,10
77.0,1,195369746,2,10
78.0,1,195369746,2,10
79.0,1,195369746,2,10
80.0,1,195369746,2,10
81.0,1,195369746,2,10
82.0,1,195369746,2,10
83.0,1,195369746,2,10
84.0,1,195369746,2,10
85.0,1,195369746,2,10
86.0,1,195369746,2,10
87.0,1,195369746,2,10
88.0,1,195369746,2,10
89.0,1,195369746,2,10
90.0,1,195369746,2,10
91.0,1,195369746,2,10
92.0,1,195369746,2,10
93.0,1,195369746,2,10
94.0,1,195369746,2,10
95.0,1,195369746,2,10
96.0,1,195369746,2,10
