"tick","run","random_seed","Human Count","Zombie Count"
244.0,1,1543358157,0,205
245.0,1,1543358157,0,205
246.0,1,1543358157,0,205
247.0,1,1543358157,0,205
248.0,1,1543358157,0,205
249.0,1,1543358157,0,205
250.0,1,1543358157,0,205
251.0,1,1543358157,0,205
252.0,1,1543358157,0,205
253.0,1,1543358157,0,205
254.0,1,1543358157,0,205
255.0,1,1543358157,0,205
256.0,1,1543358157,0,205
257.0,1,1543358157,0,205
258.0,1,1543358157,0,205
259.0,1,1543358157,0,205
260.0,1,1543358157,0,205
261.0,1,1543358157,0,205
262.0,1,1543358157,0,205
263.0,1,1543358157,0,205
264.0,1,1543358157,0,205
265.0,1,1543358157,0,205
266.0,1,1543358157,0,205
267.0,1,1543358157,0,205
268.0,1,1543358157,0,205
269.0,1,1543358157,0,205
270.0,1,1543358157,0,205
271.0,1,1543358157,0,205
272.0,1,1543358157,0,205
273.0,1,1543358157,0,205
274.0,1,1543358157,0,205
275.0,1,1543358157,0,205
276.0,1,1543358157,0,205
277.0,1,1543358157,0,205
278.0,1,1543358157,0,205
279.0,1,1543358157,0,205
280.0,1,1543358157,0,205
281.0,1,1543358157,0,205
282.0,1,1543358157,0,205
283.0,1,1543358157,0,205
284.0,1,1543358157,0,205
285.0,1,1543358157,0,205
286.0,1,1543358157,0,205
287.0,1,1543358157,0,205
288.0,1,1543358157,0,205
289.0,1,1543358157,0,205
290.0,1,1543358157,0,205
291.0,1,1543358157,0,205
292.0,1,1543358157,0,205
293.0,1,1543358157,0,205
294.0,1,1543358157,0,205
295.0,1,1543358157,0,205
296.0,1,1543358157,0,205
297.0,1,1543358157,0,205
298.0,1,1543358157,0,205
299.0,1,1543358157,0,205
300.0,1,1543358157,0,205
