"Total Score - Player 0","Total Score - Player 1","tick","run","random_seed"
0.0,0.0,0.0,1,129714406
0.0,5.0,1.0,1,129714406
0.0,10.0,2.0,1,129714406
0.0,15.0,3.0,1,129714406
0.0,20.0,4.0,1,129714406
0.0,25.0,5.0,1,129714406
0.0,30.0,6.0,1,129714406
0.0,35.0,7.0,1,129714406
0.0,40.0,8.0,1,129714406
0.0,45.0,9.0,1,129714406
0.0,50.0,10.0,1,129714406
